,Source,Target,Type,Value
0,Escherichia coli str K 12 substr MG1655,cl[e],Uptake,0.0013222568752361559
1,Bacteroides thetaiotaomicron 3731,cl[e],Uptake,0.002192035638585602
2,Escherichia coli str K 12 substr MG1655,glc_D[e],Uptake,4.999999999999773
3,Bacteroides thetaiotaomicron 3731,glc_D[e],Uptake,4.999999999999991
4,Escherichia coli str K 12 substr MG1655,ca2[e],Uptake,0.0013222568752361559
5,Bacteroides thetaiotaomicron 3731,ca2[e],Uptake,0.002192035638585602
6,Escherichia coli str K 12 substr MG1655,h[e],Secretion,4.740082844000316
7,Bacteroides thetaiotaomicron 3731,h[e],Uptake,4.740083
8,Escherichia coli str K 12 substr MG1655,h2[e],Secretion,14.933153643908875
9,Bacteroides thetaiotaomicron 3731,h2[e],Uptake,2.7307298281739647
10,Escherichia coli str K 12 substr MG1655,cobalt2[e],Uptake,0.0013222568752361559
11,Bacteroides thetaiotaomicron 3731,cobalt2[e],Uptake,0.002192035638585602
12,Escherichia coli str K 12 substr MG1655,glyclt[e],Secretion,0.0001778334460218467
13,Escherichia coli str K 12 substr MG1655,ac[e],Secretion,6.451179833090569
14,Bacteroides thetaiotaomicron 3731,ac[e],Secretion,9.587809860798096
15,Escherichia coli str K 12 substr MG1655,fe2[e],Uptake,0.0013222568752361559
16,Bacteroides thetaiotaomicron 3731,fe2[e],Uptake,0.006576106915756806
17,Escherichia coli str K 12 substr MG1655,succ[e],Secretion,0.9751294290949823
18,Bacteroides thetaiotaomicron 3731,succ[e],Uptake,0.9751289999999931
19,Escherichia coli str K 12 substr MG1655,k[e],Uptake,0.0013222568752361559
20,Bacteroides thetaiotaomicron 3731,k[e],Uptake,0.002192035638585602
21,Escherichia coli str K 12 substr MG1655,pi[e],Uptake,0.23213144418432657
22,Bacteroides thetaiotaomicron 3731,pi[e],Uptake,0.17086401108857707
23,Escherichia coli str K 12 substr MG1655,zn2[e],Uptake,0.0013222568752361559
24,Bacteroides thetaiotaomicron 3731,zn2[e],Uptake,0.002192035638585602
25,Escherichia coli str K 12 substr MG1655,thm[e],Secretion,0.002644513750472031
26,Bacteroides thetaiotaomicron 3731,cys_L[e],Uptake,0.05802004729874684
27,Escherichia coli str K 12 substr MG1655,biomass[c],Secretion,0.16931606464467894
28,Bacteroides thetaiotaomicron 3731,biomass[c],Secretion,0.27608544889424064
29,Escherichia coli str K 12 substr MG1655,mn2[e],Uptake,0.0013222568752361559
30,Bacteroides thetaiotaomicron 3731,mn2[e],Uptake,0.002192035638585602
31,Bacteroides thetaiotaomicron 3731,urea[e],Uptake,2.4330645276293694e-08
32,Escherichia coli str K 12 substr MG1655,co2[e],Secretion,10.1875116817608
33,Bacteroides thetaiotaomicron 3731,co2[e],Uptake,4.036366117129088
34,Escherichia coli str K 12 substr MG1655,etoh[e],Uptake,1.6847343875525667e-07
35,Escherichia coli str K 12 substr MG1655,so4[e],Uptake,0.04828494577753658
36,Bacteroides thetaiotaomicron 3731,so4[e],Uptake,0.002192035638585602
37,Escherichia coli str K 12 substr MG1655,mg2[e],Uptake,0.0013222568752361559
38,Bacteroides thetaiotaomicron 3731,mg2[e],Uptake,0.002192035638585602
39,Escherichia coli str K 12 substr MG1655,for[e],Uptake,5.280515740176547
40,Bacteroides thetaiotaomicron 3731,for[e],Secretion,8.568357825758794
41,Escherichia coli str K 12 substr MG1655,fe3[e],Uptake,0.0013222568752361559
42,Bacteroides thetaiotaomicron 3731,fe3[e],Uptake,0.002192035638585602
43,Escherichia coli str K 12 substr MG1655,h2o[e],Secretion,1.1584031308930607
44,Bacteroides thetaiotaomicron 3731,h2o[e],Secretion,25.591706390792414
45,Escherichia coli str K 12 substr MG1655,cu2[e],Uptake,0.0013222568752361559
46,Bacteroides thetaiotaomicron 3731,cu2[e],Uptake,0.002192035638585602
47,Escherichia coli str K 12 substr MG1655,nh4[e],Uptake,1.8903670289343735
48,Bacteroides thetaiotaomicron 3731,nh4[e],Uptake,1.9354317794287517
